tick,agent_events,mean_reward,mean_knowledge_score,earth_proxy_resolves,weather_updated,wind_updated,atmosphere_updated,astronomy_updated,data_feeds_updated
348,0,0.0,0.0,115,False,False,False,False,False
349,0,0.0,0.0,115,False,False,False,False,False
350,0,0.0,0.0,116,False,False,False,False,True
351,0,0.0,0.0,116,False,False,False,False,False
352,0,0.0,0.0,116,False,False,False,False,False
353,0,0.0,0.0,117,False,False,False,False,False
354,0,0.0,0.0,117,False,False,False,False,False
355,0,0.0,0.0,118,False,False,False,False,False
356,0,0.0,0.0,118,False,False,False,False,False
357,0,0.0,0.0,118,False,False,False,False,False
358,0,0.0,0.0,119,False,False,False,False,False
359,0,0.0,0.0,119,False,False,False,False,False
360,0,0.0,0.0,119,False,False,False,False,False
361,0,0.0,0.0,119,False,False,False,False,False
362,0,0.0,0.0,120,False,False,False,False,False
363,0,0.0,0.0,120,False,False,False,False,False
364,0,0.0,0.0,120,False,False,False,False,False
365,0,0.0,0.0,121,False,False,False,False,False
